feature,importance
IsHTTPS,0.15701273
HasSubdomain,0.13709508
NoOfSlash,0.1103469
Prefix_Suffix,0.102018826
DomainLength,0.0495542
SubdomainCount,0.049384363
SuspiciousWords,0.0468834
Have_At,0.04331327
Have_IP,0.03303372
NoOfHyphen,0.030522656
PathLength,0.027512886
URL_Depth,0.027073082
SpecialCharCount,0.021348102
NoOfDots,0.018914951
NoOfPercent,0.018854782
NoOfUnderscore,0.018254783
NoOfDigits,0.0132834455
Redirection,0.011010752
QueryLength,0.01097405
NoOfEquals,0.010715243
URL_Length,0.009544685
NoOfQuestionMark,0.008982985
HasPort,0.006870901
DigitRatio,0.006687221
https_Domain,0.0064221104
NoOfLetters,0.0064219693
LetterRatio,0.0061728065
NoOfAmpersand,0.006140064
TinyURL,0.0056500146
